Date;Peugeot;Renault;Volvo;BMW;Daimler;VW;Toyota;GM;Ford;Fiat Chrysler;Portfolio
9.2.2015;14.99;68.761;85.09;76.926;66.9;158.41;114.339996;27.650263;12.995331;8.96953;635.03212
9.1.2015;15.69;70.917;87.36;78.688;68.332;162.81;118.379997;28.422618;13.137408;9.284943;653.021966
8.31.2015;15.035;68.606;86.25;76.188;66.057;159.19;120.769997;27.997823;13.014274;9.422936;642.53103
8.28.2015;15.085;69.674;86.11;76.715;66.275;160.51;119.57;27.592337;12.843782;9.462362;643.837481
8.27.2015;15.4;71.926;88.76;78.745;67.934;165.54;117.839996;27.128926;12.512268;9.495218;655.281408
8.26.2015;15.585;73.606;88.81;79.435;68.683;167.35;113.370003;26.337263;12.218641;9.225803;654.62071
8.25.2015;15.8;73.916;88.62;79.444;68.929;168.18;113.519997;26.839292;12.493324;9.02867;656.770283
8.24.2015;15.365;70.422;86.69;77.213;66.493;164.37;119.050003;28.577089;13.127936;9.57407;650.882098
8.21.2015;15.505;71.383;88.09;78.362;67.27;165.15;122.5;29.774237;13.66783;9.606925;661.308992
8.20.2015;14.56;67.014;85.19;73.679;63.592;155.97;126.040001;30.536935;13.989872;9.915766;640.487574
8.19.2015;15.46;71.79;90.69;76.744;66.711;163.05;127.870003;30.614171;14.046702;10.066901;667.042777
8.18.2015;16.205;72.984;90.93;78.535;68.673;165.54;127.870003;30.517628;13.904625;10.158897;675.318153
8.17.2015;16.455;76.557;93.11;80.326;69.991;169.21;128.190002;30.401774;13.999343;10.244321;688.48444
8.14.2015;17.02;79.275;95.62;82.241;71.858;172.43;127.790001;29.986634;13.93304;10.277176;700.430851
8.13.2015;16.93;79.751;96.59;82.969;72.37;173.8;127.419998;29.803201;13.904625;10.106328;703.644152
8.12.2015;17.07;80.819;96.97;82.509;72.958;174.67;129.009995;29.764582;13.923568;10.750294;708.444439
8.11.2015;17.01;79.877;98.42;82.548;72.996;174.28;131.089996;30.836224;14.198251;10.881716;712.137187
8.10.2015;16.825;79.178;95.86;82.452;72.086;173.65;129.949997;30.643135;14.018287;10.743724;705.406143
8.7.2015;17.7;82.362;99.39;85.641;75.774;179.51;128.809998;30.758988;14.046702;10.66487;724.657558
8.6.2015;18.37;85.605;101.99;89.453;79.888;186.39;128.309998;30.507973;14.018287;10.638586;745.170844
8.5.2015;18.43;85.294;99.77;88.955;79.442;184.73;129.850006;30.430738;14.122476;10.638586;741.662806
8.4.2015;18.465;84.683;98.61;88.284;79.594;183.17;133.179993;30.585209;14.150892;10.60573;741.327824
8.3.2015;18.89;85.809;99.19;89.041;80.191;184.25;133.460007;30.421083;14.046702;10.382314;745.681106
7.31.2015;18.33;82.935;98.23;87.039;78.115;179.46;132.270004;30.80726;14.302441;10.23775;731.726455
7.30.2015;17.98;82.1;98.61;88.169;77.85;180.19;132.570007;30.845878;14.406631;9.541215;732.262731
7.29.2015;18.245;81.333;98.42;87.442;77.158;178.14;131.839996;30.237649;13.904625;9.810629;726.530899
7.28.2015;18.11;80.702;98.42;86.062;76.475;180.63;131.789993;29.976979;13.642097;9.468932;725.277001
7.27.2015;18.86;87.711;97.36;85.698;76.864;182;132.550003;29.986634;13.492081;9.955193;734.476911
7.24.2015;17.785;86.682;97.94;86.369;76.646;186.35;133.25;30.411429;13.698352;10.211466;739.343247
7.23.2015;17.27;85.624;97.07;85.315;75.631;181.85;133.990005;29.252897;13.520209;10.191752;729.714863
7.22.2015;17.89;88.517;99.19;87.767;77.632;185.37;134.559998;29.339787;13.604593;10.204894;744.075272
7.21.2015;18.86;90.75;99.87;89.731;79.367;190.55;135.539993;29.445987;13.660848;10.165468;757.940296
7.20.2015;18.86;91.158;100.64;90.152;79.878;190.94;135.360001;29.590802;13.77336;10.172039;760.524202
7.17.2015;18.635;91.575;101.22;91.119;80.646;192.89;135.770004;29.552186;13.660848;10.001191;765.069229
7.16.2015;18.57;91.09;101.7;91.569;80.618;193.72;133.990005;30.343848;13.829617;9.744919;765.175389
7.15.2015;18.23;90.517;98.32;91.541;80.049;195.33;133.449997;30.672099;13.885873;9.547786;761.542755
7.14.2015;18.205;90.769;105.47;91.694;80.656;196.21;133.440002;30.585209;13.726481;9.587212;770.342904
7.13.2015;18.145;88.692;101.61;89.596;78.959;193.28;131.520004;30.314884;13.576464;9.50836;755.201712
7.10.2015;18.035;88.304;105.37;90.669;78.997;196.11;129.029999;29.938362;13.435824;9.160092;759.049277
7.9.2015;18.415;89.226;104.89;90.956;79.186;201;128.110001;30.112142;13.473328;8.949817;764.318288
7.8.2015;18.53;88.537;103.06;91.177;78.608;201;132.380005;31.724431;13.923377;9.278371;768.218184
